seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
450,3,32,2,82.53507498790518,3604,2067
450,3,32,3,83.98645379777456,3604,2067
450,3,64,1,83.64779874213836,3604,2067
450,3,64,2,82.38993710691824,3604,2067
450,3,64,3,84.37348814707305,3604,2067
450,3,128,1,82.34155781325593,3604,2067
450,3,128,2,82.14804063860667,3604,2067
450,3,128,3,85.19593613933236,3604,2067
450,3,256,1,82.58345428156748,3604,2067
450,3,256,2,83.74455732946299,3604,2067
450,3,256,3,84.08321238509917,3604,2067
450,5,32,1,79.43880019351718,2155,2067
450,5,32,2,82.53507498790518,2155,2067
450,5,32,3,83.59941944847606,2155,2067
450,5,64,1,79.77745524915336,2155,2067
450,5,64,2,82.43831640058055,2155,2067
450,5,64,3,83.59941944847606,2155,2067
450,5,128,1,82.2447992259313,2155,2067
450,5,128,2,86.64731494920174,2155,2067
450,5,128,3,84.80890179003387,2155,2067
450,5,256,1,82.92210933720368,2155,2067
450,5,256,2,84.76052249637155,2155,2067
450,5,256,3,83.26076439283986,2155,2067
450,10,32,1,80.79342041606192,1080,2067
450,10,32,2,80.79342041606192,1080,2067
450,10,32,3,82.43831640058055,1080,2067
450,10,64,1,80.35800677310111,1080,2067
450,10,64,2,83.16400580551525,1080,2067
450,10,64,3,84.5670053217223,1080,2067
450,10,128,1,81.03531688437349,1080,2067
450,10,128,2,81.56748911465893,1080,2067
450,10,128,3,84.61538461538461,1080,2067
450,10,256,1,83.21238509917755,1080,2067
450,10,256,2,82.72859216255442,1080,2067
450,10,256,3,83.55104015481373,1080,2067
500,3,32,1,80.62563067608477,3600,1982
500,3,32,2,83.60242179616549,3600,1982
500,3,32,3,83.55196770938446,3600,1982
500,3,64,1,81.23107971745712,3600,1982
500,3,64,2,83.14833501513623,3600,1982
500,3,64,3,83.70332996972755,3600,1982
500,3,128,1,82.9465186680121,3600,1982
500,3,128,2,84.05650857719475,3600,1982
500,3,128,3,85.41876892028255,3600,1982
500,3,256,1,82.54288597376387,3600,1982
500,3,256,2,81.98789101917255,3600,1982
500,3,256,3,83.90514631685167,3600,1982
500,5,32,1,79.81836528758829,2155,1982
500,5,32,2,81.88698284561049,2155,1982
500,5,32,3,81.83652875882946,2155,1982
500,5,64,1,81.43289606458123,2155,1982
500,5,64,2,84.05650857719475,2155,1982
500,5,64,3,82.64379414732593,2155,1982
500,5,128,1,82.44197780020181,2155,1982
500,5,128,2,83.0978809283552,2155,1982
500,5,128,3,84.05650857719475,2155,1982
500,5,256,1,82.13925327951564,2155,1982
500,5,256,2,82.84561049445006,2155,1982
500,5,256,3,85.36831483350151,2155,1982
500,10,32,1,82.84561049445006,1080,1982
500,10,32,2,81.88698284561049,1080,1982
500,10,32,3,79.6670030272452,1080,1982
500,10,64,1,79.36427850655903,1080,1982
500,10,64,2,82.89606458123107,1080,1982
500,10,64,3,81.88698284561049,1080,1982
500,10,128,1,82.34106962663975,1080,1982
500,10,128,2,83.0978809283552,1080,1982
500,10,128,3,83.9556004036327,1080,1982
500,10,256,1,83.04742684157416,1080,1982
500,10,256,2,83.29969727547932,1080,1982
500,10,256,3,84.00605449041372,1080,1982

